2025-01-23 20:37:51,420 - INFO - [LOST] Frame 9, lost_frames_count=6
2025-01-23 20:37:52,083 - INFO - [BA] Initial cost=31689513.76, Final cost=21212488.73, Num iterations=22
2025-01-23 20:37:52,227 - INFO - [BA] Initial cost=19386432.73, Final cost=18298973.20, Num iterations=22
2025-01-23 20:37:52,373 - INFO - [BA] Initial cost=18275610.11, Final cost=17223040.88, Num iterations=22
2025-01-23 20:37:52,484 - INFO - [BA] Initial cost=11542524.86, Final cost=9950529.81, Num iterations=21
2025-01-23 20:37:52,586 - INFO - [BA] Initial cost=11952790.99, Final cost=10797048.83, Num iterations=22
2025-01-23 20:37:52,697 - INFO - [BA] Initial cost=9889504.80, Final cost=8932435.12, Num iterations=20
2025-01-23 20:37:52,805 - INFO - [BA] Initial cost=415076521.75, Final cost=406893997.43, Num iterations=19
2025-01-23 20:37:52,884 - INFO - [BA] Initial cost=510431263.04, Final cost=506460508.32, Num iterations=18
2025-01-23 20:37:52,970 - INFO - [BA] Initial cost=521388783.51, Final cost=518083927.94, Num iterations=19
2025-01-23 20:37:53,045 - INFO - [BA] Initial cost=14316378002.03, Final cost=14293833751.21, Num iterations=16
2025-01-23 20:37:53,128 - INFO - [BA] Initial cost=14295706569.28, Final cost=14265956350.78, Num iterations=18
2025-01-23 20:37:53,192 - INFO - [BA] Initial cost=14268345549.77, Final cost=14261938296.73, Num iterations=17
2025-01-23 20:37:53,270 - INFO - [BA] Initial cost=14265562787.31, Final cost=14237016185.36, Num iterations=17
2025-01-23 20:37:53,385 - INFO - [BA] Initial cost=14236153743.20, Final cost=112248967.40, Num iterations=17
2025-01-23 20:37:53,492 - INFO - [BA] Initial cost=84467018.01, Final cost=1526740.78, Num iterations=21
2025-01-23 20:37:53,588 - INFO - [BA] Initial cost=1438507.18, Final cost=1012657.87, Num iterations=23
2025-01-23 20:37:53,686 - INFO - [BA] Initial cost=1077760.08, Final cost=950366.03, Num iterations=22
2025-01-23 20:37:53,771 - INFO - [BA] Initial cost=923377.96, Final cost=861139.11, Num iterations=20
2025-01-23 20:37:53,874 - INFO - [BA] Initial cost=826198.25, Final cost=704024.75, Num iterations=23
2025-01-23 20:37:53,960 - INFO - [BA] Initial cost=741647.62, Final cost=720251.01, Num iterations=21
2025-01-23 20:37:54,056 - INFO - [BA] Initial cost=875880.01, Final cost=610627.93, Num iterations=22
2025-01-23 20:37:54,149 - INFO - [BA] Initial cost=709669.17, Final cost=419537.65, Num iterations=22
2025-01-23 20:37:54,236 - INFO - [BA] Initial cost=442975.61, Final cost=336457.84, Num iterations=24
2025-01-23 20:37:54,309 - INFO - [BA] Initial cost=413440.07, Final cost=390947.10, Num iterations=18
2025-01-23 20:37:54,387 - INFO - [BA] Initial cost=432753.80, Final cost=351396.40, Num iterations=22
2025-01-23 20:37:54,486 - INFO - [BA] Initial cost=381132.97, Final cost=304028.76, Num iterations=25
2025-01-23 20:37:54,567 - INFO - [BA] Initial cost=345986.26, Final cost=312278.19, Num iterations=19
2025-01-23 20:37:54,644 - INFO - [BA] Initial cost=410753.46, Final cost=341770.50, Num iterations=21
2025-01-23 20:37:54,750 - INFO - [BA] Initial cost=384485.88, Final cost=240959.82, Num iterations=26
2025-01-23 20:37:54,825 - INFO - [BA] Initial cost=365345.51, Final cost=281335.29, Num iterations=20
2025-01-23 20:37:54,914 - INFO - [BA] Initial cost=557023.11, Final cost=445090.36, Num iterations=23
2025-01-23 20:37:55,019 - INFO - [BA] Initial cost=840296.28, Final cost=547954.69, Num iterations=27
2025-01-23 20:37:55,104 - INFO - [BA] Initial cost=594501.30, Final cost=538684.87, Num iterations=19
2025-01-23 20:37:55,174 - INFO - [BA] Initial cost=642877.40, Final cost=542311.67, Num iterations=22
2025-01-23 20:37:55,256 - INFO - [BA] Initial cost=643435.95, Final cost=549538.44, Num iterations=21
2025-01-23 20:37:55,353 - INFO - [BA] Initial cost=707102.67, Final cost=321750.15, Num iterations=25
2025-01-23 20:37:55,451 - INFO - [BA] Initial cost=387800.70, Final cost=303237.81, Num iterations=24
2025-01-23 20:37:55,520 - INFO - [BA] Initial cost=329592.48, Final cost=324549.85, Num iterations=19
2025-01-23 20:37:55,618 - INFO - [BA] Initial cost=330254.89, Final cost=321005.77, Num iterations=20
2025-01-23 20:37:55,720 - INFO - [BA] Initial cost=670783.06, Final cost=498957.82, Num iterations=23
2025-01-23 20:37:55,819 - INFO - [BA] Initial cost=581808.28, Final cost=493276.45, Num iterations=21
2025-01-23 20:37:55,901 - INFO - [BA] Initial cost=576101.32, Final cost=442867.46, Num iterations=19
2025-01-23 20:37:56,048 - INFO - [BA] Initial cost=464767.72, Final cost=330436.31, Num iterations=23
2025-01-23 20:37:56,238 - INFO - [BA] Initial cost=375338.47, Final cost=339762.57, Num iterations=21
2025-01-23 20:37:56,515 - INFO - [BA] Initial cost=409113.76, Final cost=321030.84, Num iterations=23
2025-01-23 20:37:56,766 - INFO - [BA] Initial cost=350513.05, Final cost=297331.99, Num iterations=24
2025-01-23 20:37:56,935 - INFO - [BA] Initial cost=1240040507.29, Final cost=1240013964.02, Num iterations=18
2025-01-23 20:37:57,136 - INFO - [BA] Initial cost=1280867487.06, Final cost=1280658698.59, Num iterations=18
2025-01-23 20:37:57,289 - INFO - [BA] Initial cost=1292699836.93, Final cost=1292345227.87, Num iterations=18
2025-01-23 20:37:57,471 - INFO - [BA] Initial cost=1312322295.62, Final cost=1312008991.39, Num iterations=17
2025-01-23 20:37:57,688 - INFO - [BA] Initial cost=1316471745.51, Final cost=1315435138.38, Num iterations=19
2025-01-23 20:37:57,994 - INFO - [BA] Initial cost=1317001731.95, Final cost=1285840196.04, Num iterations=21
2025-01-23 20:37:58,185 - INFO - [BA] Initial cost=1286190004.90, Final cost=1279291885.42, Num iterations=17
2025-01-23 20:37:58,446 - INFO - [BA] Initial cost=1279488005.01, Final cost=1257914132.89, Num iterations=19
2025-01-23 20:37:59,018 - INFO - [BA] Initial cost=1258073920.67, Final cost=642262398.28, Num iterations=36
2025-01-23 20:37:59,376 - INFO - [BA] Initial cost=8647764.37, Final cost=6524514.97, Num iterations=27
2025-01-23 20:37:59,602 - INFO - [BA] Initial cost=6255994.99, Final cost=5948331.03, Num iterations=22
2025-01-23 20:37:59,779 - INFO - [BA] Initial cost=5918414.35, Final cost=5905325.63, Num iterations=19
2025-01-23 20:38:00,000 - INFO - [LOST] Frame 90, lost_frames_count=6
2025-01-23 20:38:01,148 - INFO - [LOST] Frame 100, lost_frames_count=6
2025-01-23 20:38:03,464 - INFO - [BA] Initial cost=2642918.30, Final cost=2159224.85, Num iterations=23
2025-01-23 20:38:03,852 - INFO - [BA] Initial cost=2697953.09, Final cost=1768737.73, Num iterations=22
2025-01-23 20:38:04,202 - INFO - [BA] Initial cost=2190530.90, Final cost=1823986.34, Num iterations=24
2025-01-23 20:38:04,551 - INFO - [BA] Initial cost=2118204.57, Final cost=1716346.97, Num iterations=23
2025-01-23 20:38:04,863 - INFO - [BA] Initial cost=1848079.72, Final cost=1606810.95, Num iterations=23
2025-01-23 20:38:05,159 - INFO - [BA] Initial cost=1949747.56, Final cost=1680483.60, Num iterations=21
2025-01-23 20:38:05,447 - INFO - [BA] Initial cost=1882690.06, Final cost=1471173.39, Num iterations=21
2025-01-23 20:38:05,762 - INFO - [BA] Initial cost=1745506.47, Final cost=1284902.95, Num iterations=22
2025-01-23 20:38:06,056 - INFO - [BA] Initial cost=1309201.23, Final cost=1086874.62, Num iterations=23
2025-01-23 20:38:06,290 - INFO - [BA] Initial cost=1038918.34, Final cost=1007129.39, Num iterations=19
2025-01-23 20:38:06,591 - INFO - [BA] Initial cost=1166431.75, Final cost=896790.89, Num iterations=23
2025-01-23 20:38:06,906 - INFO - [BA] Initial cost=932592.72, Final cost=685499.32, Num iterations=24
2025-01-23 20:38:07,220 - INFO - [BA] Initial cost=867857.65, Final cost=628084.69, Num iterations=23
2025-01-23 20:38:07,600 - INFO - [BA] Initial cost=810833.49, Final cost=623684.67, Num iterations=29
2025-01-23 20:38:07,958 - INFO - [BA] Initial cost=630381.60, Final cost=489496.88, Num iterations=23
2025-01-23 20:38:08,376 - INFO - [BA] Initial cost=897314.30, Final cost=546754.89, Num iterations=27
2025-01-23 20:38:08,609 - INFO - [BA] Initial cost=884687.12, Final cost=696353.99, Num iterations=21
2025-01-23 20:38:08,931 - INFO - [BA] Initial cost=799347.58, Final cost=503456.35, Num iterations=25
2025-01-23 20:38:09,200 - INFO - [BA] Initial cost=705640.75, Final cost=582368.70, Num iterations=21
2025-01-23 20:38:09,454 - INFO - [BA] Initial cost=758700.01, Final cost=630264.93, Num iterations=21
2025-01-23 20:38:09,856 - INFO - [BA] Initial cost=693112.85, Final cost=525513.63, Num iterations=30
2025-01-23 20:38:10,122 - INFO - [BA] Initial cost=737754.55, Final cost=543398.50, Num iterations=22
2025-01-23 20:38:10,500 - INFO - [BA] Initial cost=768336.91, Final cost=493007.72, Num iterations=28
2025-01-23 20:38:10,739 - INFO - [BA] Initial cost=697104.61, Final cost=642763.37, Num iterations=21
2025-01-23 20:38:11,029 - INFO - [BA] Initial cost=646057.28, Final cost=526921.86, Num iterations=22
2025-01-23 20:38:11,433 - INFO - [BA] Initial cost=652462.11, Final cost=460384.40, Num iterations=27
2025-01-23 20:38:11,778 - INFO - [BA] Initial cost=774571.81, Final cost=507760.31, Num iterations=25
2025-01-23 20:38:12,129 - INFO - [BA] Initial cost=563028.14, Final cost=346875.37, Num iterations=26
2025-01-23 20:38:12,399 - INFO - [BA] Initial cost=514333.18, Final cost=356362.19, Num iterations=21
2025-01-23 20:38:12,767 - INFO - [BA] Initial cost=406254.90, Final cost=291193.52, Num iterations=26
2025-01-23 20:38:13,133 - INFO - [BA] Initial cost=343694.79, Final cost=263524.21, Num iterations=25
2025-01-23 20:38:13,457 - INFO - [BA] Initial cost=568245.68, Final cost=286061.75, Num iterations=26
2025-01-23 20:38:13,790 - INFO - [BA] Initial cost=647209.24, Final cost=301471.24, Num iterations=27
2025-01-23 20:38:14,085 - INFO - [BA] Initial cost=363425.38, Final cost=278735.43, Num iterations=25
2025-01-23 20:38:14,351 - INFO - [BA] Initial cost=348629.90, Final cost=280961.02, Num iterations=25
2025-01-23 20:38:14,686 - INFO - [BA] Initial cost=342835.48, Final cost=272993.89, Num iterations=28
2025-01-23 20:38:14,975 - INFO - [BA] Initial cost=329937.55, Final cost=203652.27, Num iterations=26
2025-01-23 20:38:15,256 - INFO - [BA] Initial cost=454920.71, Final cost=253892.51, Num iterations=25
2025-01-23 20:38:15,562 - INFO - [BA] Initial cost=357336.44, Final cost=200105.01, Num iterations=26
