#timestamp [s],p_x [m],p_y [m],p_z [m],R11,R21,R31,R12,R22,R32,R13,R23,R33
1403636579.763556,0.000000,0.000000,0.000000,0.362577,0.014814,-0.931836,0.014814,0.999656,0.021657,0.931836,-0.021657,0.362233
1403636579.813555,0.000000,0.000000,0.000000,0.362577,0.014814,-0.931836,0.014814,0.999656,0.021657,0.931836,-0.021657,0.362233
1403636579.863556,1.138111,1.138111,1.138111,0.355588,0.011165,-0.934576,0.021188,0.999575,0.020003,0.934402,-0.026914,0.355201
1403636579.913556,6.998966,6.998966,6.998966,0.356539,0.010287,-0.934224,0.016273,0.999719,0.017218,0.934139,-0.021341,0.356272
1403636579.963556,13.530902,13.530902,13.530902,0.353638,-0.070200,-0.932744,0.051319,0.997134,-0.055589,0.933973,-0.028209,0.356227
1403636580.013556,18.884106,18.884106,18.884106,0.371031,-0.044310,-0.927563,0.077246,0.996872,-0.016722,0.925402,-0.065446,0.373293
1403636580.063556,27.180725,27.180725,27.180725,0.358423,-0.043541,-0.932543,0.072975,0.997162,-0.018511,0.930703,-0.061417,0.360583
1403636580.113555,32.808340,32.808340,32.808340,0.365186,0.138334,-0.920599,0.003119,0.988710,0.149806,0.930929,-0.057579,0.360632
1403636580.163556,35.825625,35.825625,35.825625,0.560965,-0.182992,-0.807362,0.053967,0.981272,-0.184912,0.826079,0.060159,0.560334
1403636580.213556,42.517860,42.517860,42.517860,0.558158,-0.183779,-0.809126,0.053527,0.981106,-0.185917,0.828007,0.060461,0.557449
1403636580.263556,51.861175,51.861175,51.861175,0.596616,-0.187135,-0.780404,0.038943,0.978038,-0.204754,0.801581,0.091769,0.590801
1403636580.313555,61.511697,61.511697,61.511697,0.610574,-0.193117,-0.768053,0.057254,0.978040,-0.200400,0.789887,0.078385,0.608222
1403636580.363556,70.997175,70.997175,70.997175,0.642865,-0.217053,-0.734583,0.098766,0.974495,-0.201508,0.759585,0.056991,0.647906
1403636580.413556,79.456672,79.456672,79.456672,0.694734,-0.181216,-0.696065,0.119912,0.983379,-0.136334,0.709201,0.011249,0.704916
1403636580.463556,85.369065,85.369065,85.369065,0.704276,-0.155456,-0.692697,0.058698,0.985141,-0.161408,0.707496,0.073016,0.702936
1403636580.513556,92.241317,92.241317,92.241317,0.693122,-0.154392,-0.704092,0.051086,0.984858,-0.165667,0.719008,0.078858,0.690513
1403636580.613555,93.848325,93.848325,93.848325,0.688270,-0.155987,-0.708486,0.049291,0.984408,-0.168851,0.723778,0.081293,0.685227
1403636580.663556,91.667845,91.667845,91.667845,0.818303,0.053019,-0.572337,-0.117363,0.990171,-0.076076,0.562678,0.129424,0.816482
1403636580.713556,92.118924,92.118924,92.118924,0.590374,0.732025,-0.339997,-0.298600,0.589443,0.750597,0.749864,-0.341610,0.566574
1403636580.763556,89.281474,89.281474,89.281474,0.517550,0.845338,-0.132462,-0.232456,0.287894,0.929022,0.823472,-0.450023,0.345503
1403636580.813555,91.621376,91.621376,91.621376,0.512899,0.853378,-0.093171,-0.326203,0.294139,0.898373,0.794057,-0.430382,0.429238
1403636580.863556,95.943545,95.943545,95.943545,0.414088,0.894885,0.166468,-0.390531,0.009469,0.920541,0.822202,-0.446195,0.353402
1403636580.913556,95.516288,95.516288,95.516288,0.283722,0.792500,-0.539856,-0.217344,0.601488,0.768749,0.933950,-0.100777,0.342901
1403636580.963556,98.813217,98.813217,98.813217,0.328342,0.789197,-0.518998,-0.265148,0.604377,0.751282,0.906580,-0.109066,0.407697
1403636581.013556,103.750769,103.750769,103.750769,0.297917,0.892247,-0.339323,-0.348043,0.432522,0.831740,0.888882,-0.129691,0.439396
1403636581.063556,105.633739,105.633739,105.633739,0.285247,0.929415,-0.234142,-0.412067,0.339482,0.845549,0.865352,-0.144708,0.479818
1403636581.113555,110.936060,110.936060,110.936060,0.311197,0.923003,-0.226323,-0.456128,0.353990,0.816479,0.833728,-0.150854,0.531169
1403636581.163556,119.957144,119.957144,119.957144,0.263544,0.940277,-0.215463,-0.606899,0.335232,0.720620,0.749812,-0.059151,0.659001
1403636581.213556,129.065140,129.065140,129.065140,0.265222,0.937620,-0.224782,-0.680052,0.347176,0.645755,0.683511,-0.018405,0.729708
1403636581.263556,134.826171,134.826171,134.826171,0.248533,0.960965,-0.121568,-0.719239,0.267150,0.641348,0.648789,-0.071960,0.757558
1403636581.313555,137.389990,137.389990,137.389990,0.233577,0.965700,-0.113423,-0.737098,0.251934,0.627069,0.634136,-0.062865,0.770662
1403636581.363556,139.359032,139.359032,139.359032,0.231710,0.968205,-0.094279,-0.747627,0.239248,0.619528,0.622386,-0.073066,0.779293
1403636581.413556,142.748265,142.748265,142.748265,0.244195,0.968769,-0.043084,-0.762911,0.219352,0.608155,0.598612,-0.115639,0.792649
1403636581.463556,143.883092,143.883092,143.883092,0.252570,0.965942,-0.056245,-0.753291,0.232784,0.615113,0.607257,-0.112991,0.786430
1403636581.513556,140.864648,140.864648,140.864648,0.262363,0.962091,-0.074471,-0.736609,0.249531,0.628603,0.623356,-0.110066,0.774153
1403636581.563556,137.365381,137.365381,137.365381,0.264929,0.953940,-0.140748,-0.705104,0.291216,0.646546,0.657755,-0.072047,0.749779
1403636581.613555,131.062824,131.062824,131.062824,0.233291,0.960844,-0.149516,-0.690300,0.271935,0.670476,0.684881,-0.053205,0.726710
1403636581.663556,122.188356,122.188356,122.188356,0.193226,0.968589,-0.156524,-0.675295,0.247021,0.694952,0.711787,-0.028583,0.701813
1403636581.713556,115.182314,115.182314,115.182314,0.190936,0.967902,-0.163430,-0.660108,0.249833,0.708408,0.726500,-0.027379,0.686621
1403636581.763556,112.731124,112.731124,112.731124,0.212738,0.955083,-0.206300,-0.648672,0.295942,0.701173,0.730731,-0.015346,0.682493
1403636581.813555,113.694327,113.694327,113.694327,0.270183,0.942519,-0.196617,-0.633723,0.327827,0.700660,0.724842,-0.064705,0.685870
1403636581.863556,110.587060,110.587060,110.587060,0.350571,0.584203,-0.731989,0.035596,0.772715,0.633754,0.935859,-0.248232,0.250097
1403636581.913556,102.368531,102.368531,102.368531,-0.025401,0.072431,-0.997050,0.638863,0.768304,0.039537,0.768901,-0.635974,-0.065789
1403636581.963556,94.012613,94.012613,94.012613,-0.738731,-0.190495,-0.646520,0.642527,0.090663,-0.760881,0.203560,-0.977493,0.055423
1403636582.013556,85.673859,85.673859,85.673859,-0.987154,0.083630,-0.136138,0.078304,-0.489484,-0.868489,-0.139269,-0.867993,0.476647
1403636582.063556,77.309546,77.309546,77.309546,-0.742558,0.638785,0.201399,-0.659019,-0.643126,-0.389977,-0.119587,-0.422306,0.898530
1403636582.113555,77.463972,77.463972,77.463972,-0.738420,0.639751,0.213199,-0.666250,-0.643309,-0.377180,-0.104148,-0.420561,0.901267
1403636582.163556,78.173261,78.173261,78.173261,-0.299602,0.946021,0.123625,-0.938131,-0.315697,0.142289,0.173637,-0.073346,0.982075
1403636582.213556,71.265238,71.265238,71.265238,-0.176888,0.820786,0.543158,-0.834277,-0.417837,0.359714,0.522200,-0.389515,0.758673
1403636582.263556,65.309292,65.309292,65.309292,-0.156532,0.806736,0.569803,-0.820615,-0.427275,0.379509,0.549626,-0.408183,0.728902
